# z [km]	Lat [deg]	Long [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]
0.041484407	38.730252	43.45	4.0108677	-2.8290892e-09	0.14625925
0.18313134	38.73111	43.45	-8.9511676	-1.2442699e-08	0.64578685
0.56882537	38.733444	43.45	-18.974196	-3.864307e-08	2.0070237
1.2839537	38.737749	43.45	-26.377251	-9.0136117e-08	4.5357359
2.2160585	38.743306	43.45	-31.535936	-1.7138912e-07	7.8445395
3.2323586	38.749274	43.45	-35.265941	-2.9790333e-07	11.473907
4.2767982	38.755297	43.45	-38.16158	-5.1215506e-07	15.232293
5.333188	38.761265	43.45	-40.554269	-9.133369e-07	19.067326
6.3973116	38.767149	43.45	-42.624802	-1.7362864e-06	22.967558
7.4679392	38.772944	43.45	-44.478578	-3.5004094e-06	26.930849
8.5444444	38.77865	43.45	-46.180483	-7.0928436e-06	30.955728
9.6262244	38.784275	43.45	-47.772886	-1.3378379e-05	35.039124
10.712598	38.789828	43.45	-49.284816	-2.2565604e-05	39.176015
11.802833	38.795318	43.45	-50.735576	-3.4307956e-05	43.35982
12.896188	38.800757	43.45	-52.138515	-4.8235736e-05	47.582973
13.991944	38.806156	43.45	-53.503261	-6.4202494e-05	51.8374
15.089386	38.811526	43.45	-54.835377	-8.231731e-05	56.114457
16.18778	38.81688	43.45	-56.138865	-0.00010295042	60.404773
17.286476	38.822228	43.45	-57.415382	-0.00012663625	64.699839
18.384982	38.827578	43.45	-58.666134	-0.00015394517	68.993121
19.482952	38.832936	43.45	-59.891293	-0.00018535893	73.280066
20.580184	38.838305	43.45	-61.091924	-0.00022108609	77.55803
21.676575	38.843687	43.45	-62.268874	-0.00026089457	81.825781
22.772049	38.849084	43.45	-63.424086	-0.00030412939	86.082414
23.86654	38.854495	43.45	-64.558458	-0.00034985136	90.327181
24.95996	38.859923	43.45	-65.673402	-0.00039728634	94.559094
26.052231	38.865368	43.45	-66.769619	-0.00044623868	98.777337
27.143262	38.870832	43.45	-67.847745	-0.00049753259	102.98091
28.232947	38.876317	43.45	-68.908318	-0.00055318157	107.16872
29.321185	38.881824	43.45	-69.952088	-0.0006165286	111.33977
30.407868	38.887354	43.45	-70.979524	-0.00069302826	115.49299
31.492874	38.89291	43.45	-71.990475	-0.00079531155	119.62725
32.576077	38.898493	43.45	-72.985745	-0.00093361909	123.74139
33.657316	38.904106	43.45	-73.965108	-0.0011161426	127.83392
34.736355	38.909751	43.45	-74.928899	-0.001348377	131.90266
35.813019	38.915432	43.45	-75.876938	-0.0016290597	135.94617
36.887163	38.92115	43.45	-76.808309	-0.0019503854	139.96345
37.958688	38.926906	43.45	-77.723654	-0.0023006962	143.95406
39.02758	38.9327	43.45	-78.623097	-0.0026677223	147.91848
40.093887	38.93853	43.45	-79.506932	-0.0030410198	151.85775
41.157728	38.944396	43.45	-80.375877	-0.0034121671	155.77357
42.219307	38.950294	43.45	-81.230512	-0.0037741478	159.66836
43.278904	38.956219	43.45	-82.071864	-0.0041208831	163.54513
44.336907	38.962165	43.45	-82.901555	-0.0044466067	167.40773
45.39378	38.968127	43.45	-83.72036	-0.0047462122	171.26059
46.450058	38.974096	43.45	-84.530122	-0.0050155406	175.10867
47.506274	38.980065	43.45	-85.332951	-0.005252222	178.95681
48.562889	38.986028	43.45	-86.129816	-0.0054560945	182.80921
49.620317	38.991977	43.45	-86.922733	-0.0056285308	186.6697
50.678926	38.99791	43.45	-87.713303	-0.0057719493	190.54173
51.739001	39.00382	43.45	-88.502551	-0.0058896121	194.4281
52.800782	39.009705	43.45	-89.291528	-0.0059850168	198.33123
53.864436	39.015562	43.45	-90.081433	-0.006061707	202.25301
54.930089	39.021389	43.45	-90.873268	-0.0061229776	206.19493
55.997806	39.027185	43.45	-91.667517	-0.0061718123	210.158
57.067599	39.032949	43.45	-92.464489	-0.0062108215	214.14272
58.139476	39.038682	43.45	-93.265109	-0.0062421581	218.14954
59.213431	39.044382	43.45	-94.069588	-0.0062676014	222.17882
60.289447	39.050051	43.45	-94.878591	-0.0062886188	226.23077
61.367486	39.055688	43.45	-95.69168	-0.0063064287	230.3054
62.447497	39.061295	43.45	-96.510245	-0.0063220443	234.40253
63.529408	39.066871	43.45	-97.335724	-0.006336318	238.52178
64.613147	39.072418	43.45	-98.167139	-0.0063499794	242.66269
65.698639	39.077937	43.45	-99.003629	-0.0063636724	246.82473
66.785792	39.083428	43.45	-99.844982	-0.0063779874	251.00718
67.874512	39.088895	43.45	-100.6914	-0.006393482	255.20919
68.964698	39.094337	43.45	-101.54286	-0.0064107	259.42981
70.056244	39.099757	43.45	-102.399	-0.0064301795	263.668
71.149035	39.105155	43.45	-103.25947	-0.006452453	267.92252
