# z [km]	Lat [deg]	Long [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]
0.0414844	0.011797909	0.013235627	4.0108677	-2.8290892e-09	0.14625925
0.18313134	0.011798171	0.013235627	-8.9511676	-1.2442699e-08	0.64578685
0.56882537	0.011798882	0.013235627	-18.974196	-3.864307e-08	2.0070237
1.2839537	0.011800193	0.013235627	-26.377251	-9.0136117e-08	4.5357359
2.2160585	0.011801886	0.013235627	-31.535936	-1.7138912e-07	7.8445395
3.2323586	0.011803704	0.013235627	-35.265941	-2.9790333e-07	11.473907
4.2767982	0.011805539	0.013235627	-38.16158	-5.1215506e-07	15.232293
5.333188	0.011807356	0.013235627	-40.554269	-9.133369e-07	19.067326
6.3973116	0.011809149	0.013235627	-42.624802	-1.7362864e-06	22.967558
7.4679392	0.011810914	0.013235627	-44.478578	-3.5004094e-06	26.930849
8.5444444	0.011812652	0.013235627	-46.180483	-7.0928436e-06	30.955728
9.6262244	0.011814366	0.013235627	-47.772886	-1.3378379e-05	35.039124
10.712598	0.011816057	0.013235627	-49.284816	-2.2565604e-05	39.176015
11.802833	0.01181773	0.013235627	-50.735576	-3.4307956e-05	43.35982
12.896188	0.011819386	0.013235627	-52.138515	-4.8235736e-05	47.582973
13.991944	0.011821031	0.013235627	-53.503261	-6.4202494e-05	51.8374
15.089386	0.011822667	0.013235627	-54.835377	-8.231731e-05	56.114457
16.18778	0.011824298	0.013235627	-56.138865	-0.00010295042	60.404773
17.286476	0.011825927	0.013235627	-57.415382	-0.00012663625	64.699839
18.384982	0.011827557	0.013235627	-58.666134	-0.00015394517	68.993121
19.482952	0.011829189	0.013235627	-59.891293	-0.00018535893	73.280066
20.580184	0.011830824	0.013235627	-61.091924	-0.00022108609	77.55803
21.676575	0.011832464	0.013235627	-62.268874	-0.00026089457	81.825781
22.772049	0.011834108	0.013235627	-63.424086	-0.00030412939	86.082414
23.86654	0.011835756	0.013235627	-64.558458	-0.00034985136	90.327181
24.95996	0.011837409	0.013235627	-65.673402	-0.00039728634	94.559094
26.052231	0.011839068	0.013235627	-66.769619	-0.00044623868	98.777337
27.143262	0.011840733	0.013235627	-67.847745	-0.00049753259	102.98091
28.232947	0.011842403	0.013235627	-68.908318	-0.00055318157	107.16872
29.321185	0.011844081	0.013235627	-69.952088	-0.0006165286	111.33977
30.407868	0.011845766	0.013235627	-70.979524	-0.00069302826	115.49299
31.492874	0.011847458	0.013235627	-71.990475	-0.00079531155	119.62725
32.576077	0.011849159	0.013235627	-72.985745	-0.00093361909	123.74139
33.657316	0.011850868	0.013235627	-73.965108	-0.0011161426	127.83392
34.736355	0.011852588	0.013235627	-74.928899	-0.001348377	131.90266
35.813019	0.011854318	0.013235627	-75.876938	-0.0016290597	135.94617
36.887163	0.01185606	0.013235627	-76.808309	-0.0019503854	139.96345
37.958688	0.011857814	0.013235627	-77.723654	-0.0023006962	143.95406
39.02758	0.011859578	0.013235627	-78.623097	-0.0026677223	147.91848
40.093887	0.011861355	0.013235627	-79.506932	-0.0030410198	151.85775
41.157728	0.011863142	0.013235627	-80.375877	-0.0034121671	155.77357
42.219307	0.011864938	0.013235627	-81.230512	-0.0037741478	159.66836
43.278904	0.011866743	0.013235627	-82.071864	-0.0041208831	163.54513
44.336907	0.011868554	0.013235627	-82.901555	-0.0044466067	167.40773
45.39378	0.01187037	0.013235627	-83.72036	-0.0047462122	171.26059
46.450058	0.011872189	0.013235627	-84.530122	-0.0050155406	175.10867
47.506274	0.011874007	0.013235627	-85.332951	-0.005252222	178.95681
48.562889	0.011875823	0.013235627	-86.129816	-0.0054560945	182.80921
49.620317	0.011877636	0.013235627	-86.922733	-0.0056285308	186.6697
50.678926	0.011879443	0.013235627	-87.713303	-0.0057719493	190.54173
51.739001	0.011881243	0.013235627	-88.502551	-0.0058896121	194.4281
52.800782	0.011883036	0.013235627	-89.291528	-0.0059850168	198.33123
53.864436	0.01188482	0.013235627	-90.081433	-0.006061707	202.25301
54.930089	0.011886595	0.013235627	-90.873268	-0.0061229776	206.19493
55.997806	0.01188836	0.013235627	-91.667517	-0.0061718123	210.158
57.067599	0.011890116	0.013235627	-92.464489	-0.0062108215	214.14272
58.139476	0.011891862	0.013235627	-93.265109	-0.0062421581	218.14954
59.213431	0.011893599	0.013235627	-94.069588	-0.0062676014	222.17882
60.289447	0.011895326	0.013235627	-94.878591	-0.0062886188	226.23077
61.367486	0.011897043	0.013235627	-95.69168	-0.0063064287	230.3054
62.447497	0.011898751	0.013235627	-96.510245	-0.0063220443	234.40253
63.529408	0.011900449	0.013235627	-97.335724	-0.006336318	238.52178
