# theta [deg]	phi [deg]	n_b	lat_0 [deg]	lon_0 [deg]	Travel Time [s]	Celerity [km/s]	Turning Height [km]	Inclination [deg]	Back Azimuth [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]
56	0	0	0.012555814	0.013235627	1197.2433	0.23106726	146.54983	0.017058522	90.027416	-74.718122	-13.155234
57	0	0	0.01258032	0.013235627	1212.6759	0.23550201	149.78742	0.017363072	90.027416	-75.816619	-15.895031
58	0	0	0.01261074	0.013235627	1231.3006	0.2409568	153.48574	0.017667644	90.027416	-77.175092	-19.350391
59	0	0	0.012648643	0.013235627	1253.8498	0.24765622	157.74629	0.017972418	90.027416	-78.428583	-23.770474
60	0	0	0.012695932	0.013235627	1281.1766	0.25584543	162.69435	0.018277042	90.027416	-79.89707	-29.525978
61	0	0	0.012754959	0.013235627	1314.2917	0.26579067	168.50816	0.018581658	90.027416	-81.160602	-37.193784
62	0	0	0.012828977	0.013235627	1354.5796	0.27782869	175.39737	0.01888613	90.027416	-82.754688	-47.731891
63	0	0	0.012921747	0.013235627	1403.5497	0.29225874	183.67225	0.019190883	90.027416	-84.28653	-62.712052
64	0	0	0.013040646	0.013235627	1464.3717	0.30975388	193.7464	0.019495514	90.027416	-86.092243	-85.072
65	0	0	0.013195166	0.013235627	1540.9215	0.3309646	206.21473	0.019800076	90.027416	-87.266884	-119.89481
66	0	0	0.013398472	0.013235627	1638.4173	0.35655879	221.91907	0.020104749	90.027416	-90.337547	-175.48667
67	0	0	0.013671476	0.013235627	1765.1419	0.38740871	242.15964	0.020409267	90.027416	-91.557243	-262.61847
68	0	0	0.014053499	0.013235627	1936.7914	0.4250637	268.98306	0.02071388	90.027416	-94.836089	-385.5227
69	0	0	0.014615923	0.013235627	2181.6624	0.47144333	306.12561	0.02101856	90.027416	-95.315243	-523.4311
70	0	0	0.015513365	0.013235627	2561.3619	0.52943435	360.86211	0.021323035	90.027416	-101.89362	-638.06877
71	0	0	0.016723385	0.013235627	3065.5747	0.58641499	441.84151	0.02162774	90.027416	-104.75052	-670.41098

56	10	0	0.012543879	0.013410452	1197.2433	0.23106726	146.54983	0.017058522	90.030574	-74.735868	-13.101794
57	10	0	0.012567984	0.013416319	1212.6759	0.23550201	149.78742	0.017363072	90.030578	-75.832925	-15.830734
58	10	0	0.012597906	0.013423622	1231.3006	0.2409568	153.48574	0.017667644	90.030583	-77.189821	-19.272581
59	10	0	0.012635185	0.013432752	1253.8498	0.24765622	157.74629	0.017972418	90.030589	-78.441987	-23.675641
60	10	0	0.012681693	0.013444192	1281.1766	0.25584543	162.69435	0.018277042	90.030596	-79.909082	-29.409377
61	10	0	0.012739739	0.013458547	1314.2917	0.26579067	168.50816	0.018581658	90.030606	-81.171412	-37.048805
62	10	0	0.01281252	0.01347667	1354.5796	0.27782869	175.39737	0.01888613	90.030618	-82.764131	-47.54891
63	10	0	0.012903725	0.013499577	1403.5497	0.29225874	183.67225	0.019190883	90.030633	-84.294621	-62.476787
64	10	0	0.013020596	0.013529258	1464.3717	0.30975388	193.7464	0.019495514	90.030653	-86.098816	-84.762015
65	10	0	0.013172443	0.013568384	1540.9215	0.3309646	206.21473	0.019800076	90.03068	-87.271909	-119.47571
66	10	0	0.013372164	0.01362085	1638.4173	0.35655879	221.91907	0.020104749	90.030716	-90.340465	-174.91088
67	10	0	0.013640226	0.01369315	1765.1419	0.38740871	242.15964	0.020409267	90.030767	-91.557828	-261.84267
68	10	0	0.014015072	0.013798108	1936.7914	0.4250637	268.98306	0.02071388	90.030842	-94.833561	-384.58909
69	10	0	0.014566323	0.013961444	2181.6624	0.47144333	306.12561	0.02101856	90.030961	-95.307735	-522.65371
70	10	0	0.015444197	0.014247176	2561.3619	0.52943435	360.86211	0.021323035	90.031177	-101.87935	-638.3437
71	10	0	0.016623612	0.01469331	3065.5747	0.58641499	441.84151	0.02162774	90.031532	-104.72428	-673.25398

56	20	0	0.012508478	0.013579372	1197.2433	0.23106726	146.54983	0.017058522	90.033728	-74.788539	-12.944976
57	20	0	0.012531396	0.013590887	1212.6759	0.23550201	149.78742	0.017363072	90.033736	-75.881459	-15.641977
58	20	0	0.012559841	0.013605217	1231.3006	0.2409568	153.48574	0.017667644	90.033745	-77.23381	-19.044018
59	20	0	0.012595273	0.013623129	1253.8498	0.24765622	157.74629	0.017972418	90.033757	-78.482189	-23.396869
60	20	0	0.012639468	0.013645568	1281.1766	0.25584543	162.69435	0.018277042	90.033772	-79.945307	-29.066291
61	20	0	0.012694612	0.013673717	1314.2917	0.26579067	168.50816	0.018581658	90.033791	-81.204252	-36.621681
62	20	0	0.012763729	0.013709239	1354.5796	0.27782869	175.39737	0.01888613	90.033814	-82.793115	-47.008912
63	20	0	0.012850305	0.013754119	1403.5497	0.29225874	183.67225	0.019190883	90.033845	-84.319833	-61.780882
64	20	0	0.01296118	0.013812234	1464.3717	0.30975388	193.7464	0.019495514	90.033884	-86.119808	-83.842039
65	20	0	0.013105127	0.013888779	1540.9215	0.3309646	206.21473	0.019800076	90.033936	-87.288717	-118.22568
66	20	0	0.013294262	0.013991306	1638.4173	0.35655879	221.91907	0.020104749	90.034006	-90.35142	-173.17964
67	20	0	0.01354775	0.014132362	1765.1419	0.38740871	242.15964	0.020409267	90.034104	-91.562584	-259.47627
68	20	0	0.013901472	0.014336642	1936.7914	0.4250637	268.98306	0.02071388	90.034249	-94.829949	-381.64898
69	20	0	0.014419935	0.014653296	2181.6624	0.47144333	306.12561	0.02101856	90.034478	-95.291291	-519.91692
70	20	0	0.015240739	0.015203209	2561.3619	0.52943435	360.86211	0.021323035	90.034892	-101.84545	-638.01917
71	20	0	0.016331929	0.01605011	3065.5747	0.58641499	441.84151	0.02162774	90.035558	-104.66123	-678.74109

