# theta [deg]	phi [deg]	n_b	lat_0 [deg]	lon_0 [deg]	Travel Time [s]	Celerity [km/s]	Turning Height [km]	Inclination [deg]	Back Azimuth [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]
56	0	0	41.218307	43.45	1197.2433	0.23106726	146.54983	55.999824	180	-74.718122	-13.155234
57	0	0	41.298754	43.45	1212.6759	0.23550201	149.78742	56.999603	180	-75.816619	-15.895031
58	0	0	41.398618	43.45	1231.3006	0.2409568	153.48574	57.999455	180	-77.175092	-19.350391
59	0	0	41.523045	43.45	1253.8498	0.24765622	157.74629	58.999967	180	-78.428583	-23.770474
60	0	0	41.678288	43.45	1281.1766	0.25584543	162.69435	59.999991	180	-79.89707	-29.525978
61	0	0	41.872062	43.45	1314.2917	0.26579067	168.50816	60.999986	180	-81.160602	-37.193784
62	0	0	42.115048	43.45	1354.5796	0.27782869	175.39737	61.999508	180	-82.754688	-47.731891
63	0	0	42.419593	43.45	1403.5497	0.29225874	183.67225	62.999953	180	-84.28653	-62.712052
64	0	0	42.809916	43.45	1464.3717	0.30975388	193.7464	63.999998	180	-86.092243	-85.072
65	0	0	43.317175	43.45	1540.9215	0.3309646	206.21473	64.999816	180	-87.266884	-119.89481
66	0	0	43.98459	43.45	1638.4173	0.35655879	221.91907	65.999997	180	-90.337547	-175.48667
67	0	0	44.880808	43.45	1765.1419	0.38740871	242.15964	66.99967	180	-91.557243	-262.61847
68	0	0	46.134915	43.45	1936.7914	0.4250637	268.98306	67.999656	180	-94.836089	-385.5227
69	0	0	47.981246	43.45	2181.6624	0.47144333	306.12561	68.999863	180	-95.315243	-523.4311
70	0	0	50.927372	43.45	2561.3619	0.52943435	360.86211	69.999395	180	-101.89362	-638.06877
71	0	0	54.899633	43.45	3065.5747	0.58641499	441.84151	70.999683	180	-104.75052	-670.41098

56	10	0	41.179126	44.023917	1197.2433	0.23106726	146.54983	55.999824	-169.63136	-74.735868	-13.101794
57	10	0	41.258258	44.043177	1212.6759	0.23550201	149.78742	56.999603	-169.61866	-75.832925	-15.830734
58	10	0	41.356485	44.067152	1231.3006	0.2409568	153.48574	57.999455	-169.60284	-77.189821	-19.272581
59	10	0	41.478865	44.097124	1253.8498	0.24765622	157.74629	58.999967	-169.58301	-78.441987	-23.675641
60	10	0	41.631542	44.134679	1281.1766	0.25584543	162.69435	59.999991	-169.5581	-79.909082	-29.409377
61	10	0	41.822098	44.181805	1314.2917	0.26579067	168.50816	60.999986	-169.52673	-81.171412	-37.048805
62	10	0	42.061021	44.241297	1354.5796	0.27782869	175.39737	61.999508	-169.48697	-82.764131	-47.54891
63	10	0	42.360429	44.316497	1403.5497	0.29225874	183.67225	62.999953	-169.43645	-84.294621	-62.476787
64	10	0	42.744096	44.413933	1464.3717	0.30975388	193.7464	63.999998	-169.37055	-86.098816	-84.762015
65	10	0	43.242579	44.542376	1540.9215	0.3309646	206.21473	64.999816	-169.28297	-87.271909	-119.47571
66	10	0	43.898225	44.714613	1638.4173	0.35655879	221.91907	65.999997	-169.16425	-90.340465	-174.91088
67	10	0	44.77822	44.951959	1765.1419	0.38740871	242.15964	66.99967	-168.99837	-91.557828	-261.84267
68	10	0	46.008767	45.296517	1936.7914	0.4250637	268.98306	67.999656	-168.75304	-94.833561	-384.58909
69	10	0	47.818417	45.832716	2181.6624	0.47144333	306.12561	68.999863	-168.3614	-95.307735	-522.65371
70	10	0	50.700309	46.77072	2561.3619	0.52943435	360.86211	69.999395	-167.65046	-101.87935	-638.3437
71	10	0	54.572098	48.235291	3065.5747	0.58641499	441.84151	70.999683	-166.48574	-104.72428	-673.25398

56	20	0	41.062912	44.57845	1197.2433	0.23106726	146.54983	55.999824	-159.27605	-74.788539	-12.944976
57	20	0	41.138147	44.616249	1212.6759	0.23550201	149.78742	56.999603	-159.2512	-75.881459	-15.641977
58	20	0	41.231525	44.663292	1231.3006	0.2409568	153.48574	57.999455	-159.22022	-77.23381	-19.044018
59	20	0	41.347843	44.722095	1253.8498	0.24765622	157.74629	58.999967	-159.18142	-78.482189	-23.396869
60	20	0	41.492926	44.795756	1281.1766	0.25584543	162.69435	59.999991	-159.13269	-79.945307	-29.066291
61	20	0	41.673953	44.888164	1314.2917	0.26579067	168.50816	60.999986	-159.07135	-81.204252	-36.621681
62	20	0	41.90085	45.004777	1354.5796	0.27782869	175.39737	61.999508	-158.99365	-82.793115	-47.008912
63	20	0	42.185062	45.15211	1403.5497	0.29225874	183.67225	62.999953	-158.89498	-84.319833	-61.780882
64	20	0	42.549045	45.342888	1464.3717	0.30975388	193.7464	63.999998	-158.76642	-86.119808	-83.842039
65	20	0	43.021593	45.594171	1540.9215	0.3309646	206.21473	64.999816	-158.59573	-87.288717	-118.22568
66	20	0	43.642486	45.930747	1638.4173	0.35655879	221.91907	65.999997	-158.36476	-90.35142	-173.17964
67	20	0	44.474639	46.393809	1765.1419	0.38740871	242.15964	66.99967	-158.04274	-91.562584	-259.47627
68	20	0	45.635841	47.06442	1936.7914	0.4250637	268.98306	67.999656	-157.56806	-94.829949	-381.64898
69	20	0	47.337853	48.103932	2181.6624	0.47144333	306.12561	68.999863	-156.8141	-95.291291	-519.91692
70	20	0	50.032394	49.909192	2561.3619	0.52943435	360.86211	69.999395	-155.45776	-101.84545	-638.01917
71	20	0	53.61456	52.689402	3065.5747	0.58641499	441.84151	70.999683	-153.27097	-104.66123	-678.74109

56	30	0	40.873588	45.095077	1197.2433	0.23106726	146.54983	55.999824	-148.9467	-74.873986	-12.695638
57	30	0	40.942493	45.150014	1212.6759	0.23550201	149.78742	56.999603	-148.91073	-75.960583	-15.341595
58	30	0	41.027993	45.21837	1231.3006	0.2409568	153.48574	57.999455	-148.8659	-77.30597	-18.679896
59	30	0	41.134466	45.303788	1253.8498	0.24765622	157.74629	58.999967	-148.80977	-78.54863	-22.952138
60	30	0	41.267219	45.41075	1281.1766	0.25584543	162.69435	59.999991	-148.73931	-80.005752	-28.517962
61	30	0	41.432782	45.544871	1314.2917	0.26579067	168.50816	60.999986	-148.6507	-81.259737	-35.937414
62	30	0	41.640171	45.714026	1354.5796	0.27782869	175.39737	61.999508	-148.53854	-82.842935	-46.141065
63	30	0	41.899749	45.927577	1403.5497	0.29225874	183.67225	62.999953	-148.39628	-84.364242	-60.657653
64	30	0	42.231854	46.203828	1464.3717	0.30975388	193.7464	63.999998	-148.21119	-86.15821	-82.348097
65	30	0	42.66245	46.567211	1540.9215	0.3309646	206.21473	64.999816	-147.96594	-87.321535	-116.17746
66	30	0	43.22722	47.053058	1638.4173	0.35655879	221.91907	65.999997	-147.63493	-90.375919	-170.3029
67	30	0	43.982294	47.719786	1765.1419	0.38740871	242.15964	66.99967	-147.17509	-91.57914	-255.44807
68	30	0	45.03217	48.681702	1936.7914	0.4250637	268.98306	67.999656	-146.50075	-94.835433	-376.3902
69	30	0	46.562405	50.163711	2181.6624	0.47144333	306.12561	68.999863	-145.43821	-95.281545	-514.27235
70	30	0	48.961267	52.708964	2561.3619	0.52943435	360.86211	69.999395	-143.55326	-101.81448	-634.4564
71	30	0	52.095959	56.54999	3065.5747	0.58641499	441.84151	70.999683	-140.58665	-104.59975	-680.4872

56	40	0	40.617501	45.556928	1197.2433	0.23106726	146.54983	55.999824	-138.65463	-74.987419	-12.372856
57	40	0	40.677874	45.627001	1212.6759	0.23550201	149.78742	56.999603	-138.60899	-76.066293	-14.952261
58	40	0	40.752761	45.714165	1231.3006	0.2409568	153.48574	57.999455	-138.55213	-77.403133	-18.207223
59	40	0	40.845975	45.823043	1253.8498	0.24765622	157.74629	58.999967	-138.48099	-78.638925	-22.373696
60	40	0	40.962131	45.959316	1281.1766	0.25584543	162.69435	59.999991	-138.39176	-80.088872	-27.80298
61	40	0	41.10689	46.130086	1314.2917	0.26579067	168.50816	60.999986	-138.27964	-81.337174	-35.042255
62	40	0	41.288056	46.345292	1354.5796	0.27782869	175.39737	61.999508	-138.1379	-82.913861	-45.000839
63	40	0	41.514549	46.616711	1403.5497	0.29225874	183.67225	62.999953	-137.9584	-84.429189	-59.173379
64	40	0	41.803894	46.967363	1464.3717	0.30975388	193.7464	63.999998	-137.72532	-86.216614	-80.358157
65	40	0	42.178313	47.427819	1540.9215	0.3309646	206.21473	64.999816	-137.41727	-87.374564	-113.41782
66	40	0	42.668102	48.042007	1638.4173	0.35655879	221.91907	65.999997	-137.00293	-90.419898	-166.35971
67	40	0	43.320536	48.88209	1765.1419	0.38740871	242.15964	66.99967	-136.43004	-91.616116	-249.77084
68	40	0	44.2229	50.088253	1936.7914	0.4250637	268.98306	67.999656	-135.59559	-94.861856	-368.58784
69	40	0	45.52734	51.932342	2181.6624	0.47144333	306.12561	68.999863	-134.29432	-95.296849	-504.84598
70	40	0	47.543244	55.056394	2561.3619	0.52943435	360.86211	69.999395	-132.02628	-101.81235	-625.21274
71	40	0	50.113872	59.659112	3065.5747	0.58641499	441.84151	70.999683	-128.55993	-104.58046	-673.4539

56	50	0	40.30314	45.949446	1197.2433	0.23106726	146.54983	55.999824	-128.4093	-75.120484	-12.004844
57	50	0	40.35309	46.032165	1212.6759	0.23550201	149.78742	56.999603	-128.35577	-76.191164	-14.507697
58	50	0	40.415014	46.13502	1231.3006	0.2409568	153.48574	57.999455	-128.28913	-77.51889	-17.66647
59	50	0	40.492042	46.263438	1253.8498	0.24765622	157.74629	58.999967	-128.2058	-78.747566	-21.710345
60	50	0	40.587946	46.424075	1281.1766	0.25584543	162.69435	59.999991	-128.10139	-80.190114	-26.980519
61	50	0	40.707341	46.625229	1314.2917	0.26579067	168.50816	60.999986	-127.97036	-81.432918	-34.008458
62	50	0	40.856563	46.878489	1354.5796	0.27782869	175.39737	61.999508	-127.80494	-83.003272	-43.677243
63	50	0	41.042803	47.197524	1403.5497	0.29225874	183.67225	62.999953	-127.59584	-84.513146	-57.438798
64	50	0	41.280204	47.60906	1464.3717	0.30975388	193.7464	63.999998	-127.32497	-86.294744	-78.011436
65	50	0	41.586517	48.148367	1540.9215	0.3309646	206.21473	64.999816	-126.96808	-87.448992	-110.12215
66	50	0	41.98566	48.865761	1638.4173	0.35655879	221.91907	65.999997	-126.49004	-90.486266	-161.56484
67	50	0	42.514499	49.843271	1765.1419	0.38740871	242.15964	66.99967	-125.83278	-91.67873	-242.67717
68	50	0	43.240273	51.238985	1936.7914	0.4250637	268.98306	67.999656	-124.88305	-94.917207	-358.39215
69	50	0	44.276915	53.354518	2181.6624	0.47144333	306.12561	68.999863	-123.41975	-95.350085	-491.45277
70	50	0	45.846142	56.885273	2561.3619	0.52943435	360.86211	69.999395	-120.91982	-101.85671	-609.37068
71	50	0	47.777737	61.958836	3065.5747	0.58641499	441.84151	70.999683	-117.21897	-104.62728	-656.23481

56	60	0	39.940785	46.260879	1197.2433	0.23106726	146.54983	55.999824	-118.21799	-75.261167	-11.629093
57	60	0	39.978786	46.353386	1212.6759	0.23550201	149.78742	56.999603	-118.15857	-76.324116	-14.052955
58	60	0	40.025856	46.468364	1231.3006	0.2409568	153.48574	57.999455	-118.08466	-77.643195	-17.11208
59	60	0	40.084345	46.611843	1253.8498	0.24765622	157.74629	58.999967	-117.99233	-78.865369	-21.028326
60	60	0	40.15707	46.791203	1281.1766	0.25584543	162.69435	59.999991	-117.87675	-80.301203	-26.13187
61	60	0	40.247457	47.015618	1314.2917	0.26579067	168.50816	60.999986	-117.73189	-81.539459	-32.936875
62	60	0	40.360184	47.297874	1354.5796	0.27782869	175.39737	61.999508	-117.54932	-83.104541	-42.297264
63	60	0	40.500498	47.652969	1403.5497	0.29225874	183.67225	62.999953	-117.31903	-84.610337	-55.616812
