# theta [deg]	wasp_takeoff_angle [deg]	n_b	lat_0 [deg]	lon_0 [deg]	Travel Time [s]	Celerity [km/s]	Turning Height [km]	Inclination [deg]	Back Azimuth [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]
0	0	0	48.19245	43.45	3789.3024	0.27762664	112.39016	0.0006049686	180	-45.394538	-0.86234722
1	0	0	43.398712	43.45	1874.3227	0.27692972	112.39661	0.99993846	180	-57.549418	-0.43147881
2	0	0	43.337705	43.45	1854.461	0.27623819	112.41592	1.9999359	180	-60.392888	-0.43239749
3	0	0	43.277334	43.45	1834.7898	0.2755417	112.44809	2.9998418	180	-62.072514	-0.43393663
4	0	0	43.216785	43.45	1815.0518	0.2748293	112.49309	3.9998898	180	-63.296211	-0.4361076
5	0	0	43.155486	43.45	1795.0698	0.27409205	112.5509	4.999717	180	-64.274034	-0.43892619
6	0	0	43.093071	43.45	1774.7343	0.27332275	112.62147	5.9998428	180	-65.09036	-0.44241227
7	0	0	43.0294	43.45	1754.0095	0.27251647	112.70478	6.9998236	180	-65.7872	-0.44658971
8	0	0	42.964465	43.45	1732.9029	0.27166961	112.80076	7.9997384	180	-66.388331	-0.45148618
9	0	0	42.898353	43.45	1711.4541	0.27077969	112.90937	8.9998348	180	-66.909962	-0.45713306
10	0	0	42.831241	43.45	1689.7297	0.26984532	113.03057	9.9998227	180	-67.363141	-0.46356551
11	0	0	42.763325	43.45	1667.8033	0.26886558	113.16429	10.999939	180	-67.757362	-0.47082029
12	0	0	42.694835	43.45	1645.7588	0.26784019	113.31048	11.999881	180	-68.100139	-0.47893564
13	0	0	42.625991	43.45	1623.676	0.26676904	113.46909	12.999844	180	-68.39769	-0.4879536
14	0	0	42.557012	43.45	1601.6331	0.26565232	113.64004	13.999866	180	-68.655512	-0.49791963
15	0	0	42.48811	43.45	1579.7058	0.26449047	113.8233	14.999781	180	-68.878298	-0.50888282
16	0	0	42.419467	43.45	1557.9592	0.26328394	114.01879	15.999775	180	-69.070285	-0.52089628
17	0	0	42.351259	43.45	1536.455	0.26203337	114.22647	16.999777	180	-69.234687	-0.53401943
18	0	0	42.283641	43.45	1515.2474	0.2607395	114.44633	17.999742	180	-69.374784	-0.54831905
19	0	0	42.216738	43.45	1494.3803	0.25940298	114.67833	18.99994	180	-69.493405	-0.56386611
20	0	0	42.150682	43.45	1473.8996	0.25802486	114.92247	19.999746	180	-69.592911	-0.58073742

0	10	0	48.025261	45.896424	3789.3024	0.27762664	112.39016	0.00060496915	-168.31411	-45.376614	-0.86122369
1	10	0	43.322692	44.563218	1874.3227	0.27692972	112.39661	0.99993846	-169.26868	-57.558389	-0.42997513
2	10	0	43.26275	44.547619	1854.461	0.27623819	112.41592	1.9999359	-169.27937	-60.402059	-0.4308823
3	10	0	43.203432	44.532212	1834.7898	0.2755417	112.44809	2.9998418	-169.28993	-62.081873	-0.432408
4	10	0	43.143937	44.51679	1815.0518	0.2748293	112.49309	3.9998898	-169.30048	-63.305756	-0.43456344
5	10	0	43.083703	44.501208	1795.0698	0.27409205	112.5509	4.999717	-169.31113	-64.283767	-0.43736422
6	10	0	43.02237	44.485374	1774.7343	0.27332275	112.62147	5.9998428	-169.32194	-65.100284	-0.44083008
7	10	0	42.959801	44.469253	1754.0095	0.27251647	112.70478	6.9998236	-169.33293	-65.797318	-0.44498473
8	10	0	42.895986	44.452846	1732.9029	0.27166961	112.80076	7.9997384	-169.3441	-66.398644	-0.44985571
9	10	0	42.831013	44.436176	1711.4541	0.27077969	112.90937	8.9998348	-169.35544	-66.920469	-0.45547425
10	10	0	42.765055	44.419291	1689.7297	0.26984532	113.03057	9.9998227	-169.36692	-67.373839	-0.46187539
11	10	0	42.698304	44.402239	1667.8033	0.26886558	113.16429	10.999939	-169.37849	-67.768246	-0.46909572
12	10	0	42.630986	44.38508	1645.7588	0.26784019	113.31048	11.999881	-169.39012	-68.1112	-0.47717335
13	10	0	42.563318	44.367871	1623.676	0.26676904	113.46909	12.999844	-169.40176	-68.408919	-0.48615016
14	10	0	42.495514	44.350664	1601.6331	0.26565232	113.64004	13.999866	-169.4134	-68.666898	-0.49607142
15	10	0	42.427783	44.333514	1579.7058	0.26449047	113.8233	14.999781	-169.42497	-68.889827	-0.50698603
16	10	0	42.360305	44.316466	1557.9592	0.26328394	114.01879	15.999775	-169.43647	-69.08194	-0.51894692
17	10	0	42.293252	44.299562	1536.455	0.26203337	114.22647	16.999777	-169.44785	-69.246454	-0.53201326
18	10	0	42.226776	44.282839	1515.2474	0.2607395	114.44633	17.999742	-169.4591	-69.386644	-0.54625157
19	10	0	42.161001	44.266328	1494.3803	0.25940298	114.67833	18.99994	-169.47019	-69.505338	-0.56173255
20	10	0	42.096056	44.250059	1473.8996	0.25802486	114.92247	19.999746	-169.4811	-69.6049	-0.5785327

0	20	0	47.531933	48.227091	3789.3024	0.27762664	112.39016	0.00060497334	-156.72339	-45.336717	-0.85709997
1	20	0	43.0975	45.634924	1874.3227	0.27692972	112.39661	0.99993846	-158.56791	-57.588627	-0.42549302
2	20	0	43.040706	45.604423	1854.461	0.27623819	112.41592	1.9999359	-158.58873	-60.432743	-0.4263685
3	20	0	42.984498	45.574296	1834.7898	0.2755417	112.44809	2.9998418	-158.60929	-62.112976	-0.4278568
4	20	0	42.928116	45.544135	1815.0518	0.2748293	112.49309	3.9998898	-158.62984	-63.337273	-0.4299686
5	20	0	42.871028	45.513658	1795.0698	0.27409205	112.5509	4.999717	-158.65059	-64.315705	-0.43271903
6	20	0	42.812892	45.482683	1774.7343	0.27332275	112.62147	5.9998428	-158.67165	-65.132655	-0.43612741
7	20	0	42.753578	45.451145	1754.0095	0.27251647	112.70478	6.9998236	-158.69307	-65.830132	-0.44021704
8	20	0	42.693076	45.419042	1732.9029	0.27166961	112.80076	7.9997384	-158.71485	-66.431908	-0.44501506
9	20	0	42.63147	45.386422	1711.4541	0.27077969	112.90937	8.9998348	-158.73695	-66.95418	-0.4505523
10	20	0	42.568922	45.353375	1689.7297	0.26984532	113.03057	9.9998227	-158.75932	-67.40799	-0.45686337
11	20	0	42.505614	45.319999	1667.8033	0.26886558	113.16429	10.999939	-158.78189	-67.802821	-0.46398445
